id,name,slug,created,last_updated,country_iso2,nb_prefix,carrier,type
1,AFGHANISTAN,,2018-04-16 17:27:32,2018-04-16 17:27:32,,0,1,1
,AFGHANISTAN MOBILE,,,,,0,1,3
,AFGHANISTAN MOBILE AWCC,,,,,0,1,3
,AFGHANISTAN MOBILE ETISALAT,,,,,0,1,3
,AFGHANISTAN MOBILE MTN,,,,,0,1,3
,AFGHANISTAN MOBILE ROSHAN,,,,,0,1,3
,ALBANIA,,,,,0,1,1
,ALBANIA FIXED ALBTEL,,,,,0,1,2
,ALBANIA FIXED AMC,,,,,0,1,2
,ALBANIA FIXED OLO,,,,,0,1,2
,ALBANIA MOBILE,,,,,0,1,3
,ALBANIA MOBILE AMC,,,,,0,1,3
,ALBANIA MOBILE VODAFONE,,,,,0,1,3
,ALBANIA SPECIAL SERVICES,,,,,0,1,5
,ALBANIA TIRANA,,,,,0,1,1
,ALGERIA,,,,,0,1,1
,ALGERIA CAT,,,,,0,1,1
,ALGERIA MOBILE,,,,,0,1,3
,ALGERIA MOBILE OOREDOO,,,,,0,1,3
,ALGERIA MOBILE OPTIMUM,,,,,0,1,3
,AMERICAN SAMOA,,,,,0,1,1
,ANDORRA,,,,,0,1,1
,ANDORRA MOBILE,,,,,0,1,3
,ANGOLA,,,,,0,1,1
,ANGOLA MOBILE MOVICEL,,,,,0,1,3
,ANGOLA MOBILE UNITEL,,,,,0,1,3
,ANGOLA MOBILITY SERVICES,,,,,0,1,1
,ANGUILLA,,,,,0,1,1
,ANGUILLA MOBILE,,,,,0,1,3
,ANGUILLA MOBILE DIGICEL,,,,,0,1,3
,ANGUILLA MOBILITY SERVICES,,,,,0,1,1
,ANTARCTICA,,,,,0,1,1
,ANTIGUA AND BARBUDA,,,,,0,1,1
,ANTIGUA AND BARBUDA MOBILE,,,,,0,1,3
,ARGENTINA,,,,,0,1,1
,ARGENTINA BUENOS AIRES,,,,,0,1,1
,ARGENTINA CORRIDOR,,,,,0,1,1
,ARGENTINA MOBILE,,,,,0,1,3
,ARGENTINA SPECIAL SERVICES,,,,,0,1,5
,ARGENTINA SPECIAL SERVICES TYPE_A,,,,,0,1,5
,ARGENTINA SPECIAL SERVICES TYPE_B,,,,,0,1,5
,ARMENIA,,,,,0,1,1
,ARMENIA MOBILE,,,,,0,1,3
,ARMENIA MOBILE ARMENTEL,,,,,0,1,3
,ARMENIA MOBILE KARABAKH TELECOM,,,,,0,1,3
,ARMENIA MOBILE ORANGE,,,,,0,1,3
,ARMENIA NAGORNO KARABAKH,,,,,0,1,1
,ARMENIA SPECIAL SERVICES,,,,,0,1,5
,ARMENIA YEREVAN,,,,,0,1,1
,ARUBA,,,,,0,1,1
,ARUBA MOBILE,,,,,0,1,3
,ARUBA MOBILE DIGICEL,,,,,0,1,3
,ASCENSION,,,,,0,1,1
,ASCENSION SPECIAL SERVICES,,,,,0,1,5
,AUSTRALIA,,,,,0,1,1
,AUSTRALIA CITY GROUP,,,,,0,1,1
,AUSTRALIA MOBILE,,,,,0,1,3
,AUSTRALIA MOBILE OPTUS,,,,,0,1,3
,AUSTRALIA MOBILE TELSTRA,,,,,0,1,3
,AUSTRALIA MOBILE TELSTRA AUSTRALIA VIA LYCATEL,,,,,0,1,3
,AUSTRALIA MOBILE VODAFONE HUTCHISON,,,,,0,1,3
,AUSTRALIA MOBILITY SERVICES,,,,,0,1,1
,AUSTRALIA SATELLITE FIXED TELSTRA,,,,,0,1,2
,AUSTRALIA SATELLITE MOBILE OPTUS,,,,,0,1,3
,AUSTRALIA SATELLITE MOBILE TELSTRA,,,,,0,1,3
,AUSTRALIA SPECIAL SERVICES,,,,,0,1,5
,AUSTRIA,,,,,0,1,1
,AUSTRIA MOBILE,,,,,0,1,3
,AUSTRIA MOBILE MOBILKOM,,,,,0,1,3
,AUSTRIA MOBILE T-MOBILE,,,,,0,1,3
,AUSTRIA MOBILE THREE,,,,,0,1,3
,AUSTRIA MOBILITY SERVICES,,,,,0,1,1
,AUSTRIA SPECIAL SERVICES,,,,,0,1,5
,AUSTRIA VIENNA,,,,,0,1,1
,AZERBAIJAN,,,,,0,1,1
,AZERBAIJAN MOBILE,,,,,0,1,3
,AZERBAIJAN MOBILE BAKCELL,,,,,0,1,3
,BAHAMAS,,,,,0,1,1
,BAHAMAS MOBILE,,,,,0,1,3
,BAHRAIN,,,,,0,1,1
,BAHRAIN BOADBAND TELECOM,,,,,0,1,1
,BAHRAIN MOBILE,,,,,0,1,3
